province_industry,pagerank_value
广东其他第三产业,0.01727922322796926
广东电子通信,0.017011142642249455
江苏其他第三产业,0.016344799798132446
江苏化学制品,0.012063790935197811
江苏交通运输,0.011822226630533955
江苏建筑业,0.011096852901993364
山东化学制品,0.01101965569533654
江苏电气机械,0.010271566149857825
江苏电子通信,0.009876046481408426
广东批发零售,0.009430383809739222
河北黑色金属,0.008490545150466603
广东金融,0.007028097357165503
江苏纺织业,0.006842953447011233
江苏普通机械设备,0.006821148177551055
广东电气机械,0.006738825082320178
广东运输邮政,0.006636234703576401
山东其他第三产业,0.0065988335274945725
山东食品加工,0.005800651785631162
北京其他第三产业,0.005628264901554345
广东建筑业,0.005587937875224565
浙江其他第三产业,0.005420622377953531
山东批发零售,0.005262201170620986
江苏批发零售,0.004967692347832801
江苏专用机械设备,0.004934008144175273
广东电热生产供应,0.004688151613456562
江苏金属制品,0.004665527343429644
江苏金融,0.0046048633382210396
四川其他第三产业,0.004603812234537909
江苏黑色金属,0.004529808826882838
广东房地产,0.004529448106894478
山东纺织业,0.0044420009059526425
江苏运输邮政,0.004317585541485468
广东化学制品,0.004302467506211889
江苏纺织服装服饰,0.004262475031943269
浙江纺织业,0.004222602620617095
山东石油炼焦,0.0042154569672353094
山东有色金属,0.004192109216028613
江苏化学纤维制品,0.0040037122803630075
四川电子通信,0.003954298660651875
广东金属制品,0.003931096971591143
河南非金属矿物,0.0037417249200853353
山东建筑业,0.003661898609974863
山东运输邮政,0.0036563834252892253
山东普通机械设备,0.0036007820616832846
山东农业,0.0035893158251981334
广东橡胶塑料,0.003545092776305994
山东交通运输,0.003496493058887748
河南有色金属,0.003492204843353213
广东交通运输,0.0033883877246743397
江苏仪器仪表,0.003358305017585671
山东橡胶塑料,0.00328406426874798
广东非金属矿物,0.0032476243418343223
山东非金属矿物,0.0032302720804822313
浙江化学制品,0.0032243573793574146
山东黑色金属,0.0031058527711204176
浙江化学纤维制品,0.00302109476462206
河南食品加工,0.002963168936722549
江苏农业,0.00292644446784336
山东金属制品,0.0029097617392040745
