116.348,40.0651,16410.54
117.313,39.2389,11917.32
114.441,38.1294,187693
112.314,37.9595,156270
111.495,40.5919,1183000
123.135,42.0955,147500
125.771,44.3785,189072
127.955,45.6356,454817
121.256,31.1324,6340.5
118.842,31.9298,102600
119.466,29.8986,101800
117.244,31.9936,139387
119.511,25.8941,121400
116.024,28.6626,166900
117.088,36.732,156724
113.472,34.6261,167000
114.342,30.6259,185900
113.153,28.2284,211829
113.513,23.2455,179129
108.464,23.0579,236661
110.418,19.8567,35354
106.642,29.5986,82403
103.824,30.7024,485000
106.708,26.8434,176152
102.855,25.3124,394139
91.0904,30.0338,1202369
108.79,34.1101,205795
103.577,36.4312,454774
101.449,36.814,722300
106.34,38.2206,66402
87.7781,43.4594,1664897
