农业
煤炭开采
石油天然气
黑色金属采选
有色金属采选
非金属矿采选
食品加工
食品制造
饮料制造
烟草制品
纺织业
纺织服装服饰
皮革制品
木材加工
家具
造纸和纸制品
印刷复制品
文教体育用品
石油炼焦
化学制品
医药制品
化学纤维制品
橡胶塑料
非金属矿物
黑色金属
有色金属
金属制品
普通机械设备
专用机械设备
交通运输
电气机械
电子通信
仪器仪表
其他制造产品
废弃资源回收加工
电热生产供应
燃气生产供应
水的生产供应
建筑业
批发零售
运输邮政
住宿餐饮
金融
房地产
其他第三产业
